"Csf-1"	"Csf-2"	"Csf-3"	"Csf-4"	"Csf-5"
-0.98635	-4.3945	-0.86118	1.25705	-0.86118
-0.40934	-3.8998	-1.13008	-0.11204	-0.10878
-2.89348	-3.7063	-3.26015	-0.51795	-3.26015
-5.51317	-2.708	-1.99415	-0.13661	-0.86886
-5.9911	-3.9029	-2.56147	-0.18663	-2.56147
-5.95736	-2.9355	-0.45555	-0.74375	-0.45555
-3.83724	-4.053	-0.66322	-0.21535	0.67394
-2.8387	-1.5695	-1.50593	-0.17945	-2.01746
-4.67587	-2.5676	-2.14185	-2.21167	-2.14185
-5.04793	-3.3049	-1.93214	-0.22482	-1.93214
-5.13967	-2.6119	-2.24227	-1.75901	-2.24227
-6.34422	-1.4491	-1.65758	-0.60566	-1.37732
-6.902	-3.7618	-0.79662	-0.51549	-1.16504
-26.83595	-9.792	-0.5428	1.7165	-0.5428
-10.20185	-5.3862	-1.30645	-0.75549	-1.8774
-10.76114	-3.2652	0.14826	-0.23291	0.14826
-6.55793	-2.3208	-1.07555	-0.29845	-1.07555
-0.20751	0.7656	-1.55159	-0.1851	-1.55159
-4.42124	-1.6088	-3.11441	-2.28472	-3.11441
-16.26649	-7.8182	-0.09571	-0.13198	-0.09571
-11.19741	-5.6628	-0.2594	0.44718	-0.59757
-32.31758	-8.825	-2.1809	-0.19103	-2.1809
-22.95759	-6.53	-1.98269	-0.87604	-1.98269
-33.37606	-10.1389	-1.63451	-0.70634	-1.63451
-9.07211	-4.3039	-2.15575	-0.6888	-2.15575
-7.19788	-5.1817	-2.0009	-0.43246	-2.0009
-8.27406	-3.1516	-3.69854	0.42398	-3.69854
-5.09621	-4.0516	-1.35398	0.46102	-1.35398
-4.25194	-4.4314	-1.8753	-2.98616	-2.41007
-2.07806	-3.4229	-0.27888	-1.16484	-0.27888
-3.56533	-2.9877	-1.50934	-0.88433	-1.50934
-9.63076	-3.5482	-2.15276	-0.93214	-2.15276
-4.98818	-2.8171	-2.64429	-1.81153	-2.64429
-4.39289	-1.924	-1.72565	-1.08773	-1.72565
-6.47207	-3.5553	0.34556	0.16007	0.34556
-9.14708	-5.2976	-2.84836	1.79286	-2.84836
-9.6053	-3.3647	-1.87574	0.26661	-1.87574
-18.41843	-7.4199	-1.25959	0.25773	-1.25959
-4.91066	-3.257	-2.04277	-1.58103	-2.04277
-12.58173	-3.0723	0.73084	0.61817	0.73084
-5.36368	-5.5378	-1.42893	0.48833	-1.42893
-5.1132	-5.7848	-2.07196	-1.39127	-1.00246
-4.05946	-5.1358	-1.83252	-2.47709	-1.83252
-7.05729	-3.1261	-0.32033	-0.90477	-0.32033
-8.08102	-2.1558	-2.15209	-0.44237	-2.15209
-4.79014	-4.5162	-2.3082	1.61431	-2.3082
-4.65435	-3.1103	-2.6192	0.65374	-1.78717
-11.46308	-4.8302	-2.00058	-0.18793	-2.00058
-10.95801	-3.9307	-2.15161	-1.12477	-1.79916
-9.43781	-3.1625	-2.96139	-2.78739	-2.96139
-22.29205	-5.3612	-1.73958	-1.17461	-1.73958
-10.38495	-2.1261	-1.24354	-0.20747	-1.24354
-14.09028	-3.9727	-2.22461	-0.25876	-2.22461
-15.09248	-3.8747	-2.4971	-1.72256	-2.23467
-6.61181	-2.3823	-2.89847	-1.13651	-2.89847
-8.70687	-6.0417	-2.71846	-0.58532	-2.71846
-8.62701	-3.8339	-2.09744	-0.59349	-2.09744
-3.4595	-2.2816	1.24845	0.59189	1.24845
-0.14707	-0.8738	-2.01355	-1.45372	-2.01355
-12.10116	-3.8807	-2.77305	0.01776	-2.14286
-7.13533	-1.876	-1.31223	-1.74165	-1.31223
-4.78473	-2.8895	-3.68666	-1.52076	-2.18369
-0.76174	-4.7504	-1.9183	-0.7117	-1.9183
-5.09452	-4.3637	-1.69075	-2.07349	-1.29756
-16.22969	-7.0957	-1.82981	1.70556	-1.82981
-17.98317	-7.7014	-1.11677	1.21927	-1.11677
-14.18952	-3.0264	-3.5119	1.21224	-3.5119
-11.89493	-2.8372	-1.24973	-1.24294	-1.24973
-3.79478	-2.9383	-1.8414	-0.447	-1.8414
-2.11633	-3.812	0.00061	-0.16878	0.00061
-1.09572	-1.5674	-0.48456	0.23036	-0.48456
-2.56572	-5.7441	-0.78435	-0.08093	-0.24675
-5.40948	-2.9392	-0.29838	0.89535	-0.25854
-4.26573	-2.1876	0.83282	0.96103	0.83282
-2.95217	-4.7196	-1.57674	-0.40755	0.39294
-5.22724	-3.7892	-1.30316	0.21841	-2.41894
-6.24436	-4.8583	-0.17128	-0.88817	-0.0271
-4.64891	-3.4394	-1.69324	-1.95793	-1.69324
-7.79332	-3.7505	-1.98104	-2.00117	-2.31406
-4.48519	-3.1966	-4.53552	-1.04148	-4.53552
-4.63395	-3.5815	0.9396	-0.1912	0.9396
-6.41315	-5.5031	-2.07229	-0.60318	-2.07229
-5.52919	-3.8867	-1.45609	1.79156	-1.45609
-5.14703	-2.977	-0.71189	0.17927	-0.71189
-4.29811	-4.1548	-2.66625	-1.63365	-1.63265
-4.78443	-3.2432	0.09193	-0.05391	0.09193
-5.24846	-2.6957	-3.34607	-2.03202	-3.34607
-5.42839	-4.3418	-1.19071	-1.89846	-1.19071
-5.80734	-2.6553	-1.43574	-0.79719	-1.43574
-8.895	-2.7985	0.76051	-0.50477	0.76051
-5.92061	-2.4366	-1.58062	-0.01473	-1.58062
-9.25263	-3.0901	-0.39601	0.99701	0.96677
-6.59961	-1.8721	-2.21793	-1.07667	-1.38647
-9.53937	-3.2348	-1.27287	-1.98477	-1.27287
-5.89169	-2.2284	-2.63885	-0.3298	-2.63885
-7.3543	-2.8108	0.41537	0.49107	-1.69993
-6.15601	-3.62	-2.78383	0.29088	-2.78383
-8.43004	-2.6492	-1.24759	-0.50674	-1.24759
-8.19921	-3.0555	-2.16821	-0.91928	-2.16821
-7.25179	-4.38	-3.76429	-3.29591	-3.76429
-6.38107	-3.5315	-3.01117	-0.75159	-3.01117
-4.6552	-3.9442	-2.08282	1.46047	-2.08282
-2.9772	-3.6862	-3.34429	0.17834	-3.34429
