,predus_Recall,predus_Precsion,predus_AUC,ispred_Recall,ispred_Precsion,ispred_AUC,dockpred_Recall,dockpred_Precsion,dockpred_AUC,rfscore_Recall,rfscore_Precsion,rfscore_AUC,logreg_Recall,logreg_Precsion,logreg_AUC
34,0.235171455,0.366823274,0.236,0.616774791,0.276227042,0.333,0.360518999,0.299230769,0.254,0.360518999,0.473092125,0.387,0.300973123,0.470993474,0.382
35,0.231464319,0.367820324,0.236,0.613299351,0.278397139,0.333,0.350324374,0.301015329,0.254,0.349165894,0.481469649,0.387,0.292400371,0.476226415,0.382
36,0.228220575,0.370161593,0.236,0.610287303,0.280600831,0.333,0.339202966,0.30430264,0.254,0.340361446,0.488851913,0.387,0.281510658,0.478346457,0.382
37,0.22381835,0.371252882,0.236,0.607738647,0.283077919,0.333,0.328776645,0.306281027,0.254,0.330630213,0.493430152,0.387,0.274559778,0.484860884,0.382
38,0.214782206,0.373188406,0.236,0.604726599,0.285152409,0.333,0.322057461,0.311379928,0.254,0.320203892,0.499819168,0.387,0.269694161,0.49259416,0.382
39,0.210843373,0.37340993,0.236,0.602409639,0.287897243,0.333,0.313716404,0.316429072,0.254,0.312094532,0.510807736,0.387,0.263901761,0.499342394,0.382
40,0.204819277,0.373310811,0.236,0.598934198,0.289733244,0.333,0.304448563,0.319241983,0.254,0.299582947,0.514934289,0.387,0.256024096,0.50433592,0.382
41,0.196014829,0.372851476,0.236,0.59592215,0.291609977,0.333,0.295412419,0.322376738,0.254,0.28660797,0.519311503,0.387,0.249768304,0.508730533,0.382
42,0.189759036,0.374485597,0.236,0.592215014,0.29369183,0.333,0.285681186,0.326363155,0.254,0.271547729,0.525089606,0.387,0.241890639,0.513779528,0.382
43,0.178174235,0.381259296,0.236,0.588507878,0.295417539,0.333,0.27734013,0.330754352,0.254,0.257645968,0.539020843,0.387,0.236098239,0.518311292,0.382
44,0.171918443,0.380512821,0.236,0.585264133,0.297701827,0.333,0.269230769,0.333620442,0.254,0.241195551,0.545597484,0.387,0.230074143,0.522906793,0.382
45,0.169601483,0.383446831,0.236,0.583410565,0.300226541,0.333,0.263670065,0.339701493,0.254,0.227293791,0.547738693,0.387,0.224513438,0.527490474,0.382
46,0.161723818,0.398401826,0.236,0.579008341,0.301629451,0.333,0.255097312,0.341395349,0.254,0.216172382,0.553052756,0.387,0.217099166,0.529677784,0.382
47,0.150139018,0.403738318,0.236,0.576227989,0.30436911,0.333,0.24536608,0.34128263,0.254,0.200185357,0.558500323,0.387,0.209453197,0.536817102,0.382
48,0.146431881,0.404609475,0.236,0.573911029,0.306104795,0.333,0.239110287,0.347007397,0.254,0.186978684,0.561586639,0.387,0.200417053,0.533292232,0.382
49,0.145736793,0.407119741,0.236,0.571594069,0.308992986,0.333,0.231927711,0.350490196,0.254,0.177479147,0.562408223,0.387,0.192771084,0.531969309,0.382
50,0.142956441,0.408338848,0.236,0.567886932,0.310646388,0.333,0.224513438,0.352876912,0.254,0.164967563,0.56107171,0.387,0.186283596,0.535286285,0.382
51,0.139481001,0.407582938,0.236,0.5639481,0.312251443,0.333,0.220574606,0.357089272,0.254,0.158480074,0.572384937,0.387,0.181649676,0.539944904,0.382
52,0.138554217,0.410150892,0.236,0.560936052,0.314415584,0.333,0.212928638,0.359968664,0.254,0.147822057,0.577898551,0.387,0.171918443,0.537681159,0.382
53,0.133225209,0.408380682,0.236,0.55699722,0.3164407,0.333,0.208063021,0.36489232,0.254,0.136700649,0.584737364,0.387,0.167052827,0.542105263,0.382
54,0.129286376,0.408193124,0.236,0.554216867,0.318720853,0.333,0.202734013,0.368265993,0.254,0.123030584,0.585446527,0.387,0.161492122,0.547095761,0.382
55,0.127432808,0.40922619,0.236,0.550973123,0.320917679,0.333,0.197173309,0.372591944,0.254,0.110750695,0.581508516,0.387,0.154309546,0.548148148,0.382
56,0.126274328,0.411320755,0.236,0.547961075,0.322999181,0.333,0.191380908,0.375454545,0.254,0.101482854,0.587131367,0.387,0.148285449,0.551248923,0.382
57,0.117933272,0.402371542,0.236,0.544717331,0.32503802,0.333,0.185820204,0.379555135,0.254,0.090593142,0.587087087,0.387,0.142493049,0.559090909,0.382
58,0.114226135,0.399837794,0.236,0.541241891,0.327216697,0.333,0.178637627,0.378869779,0.254,0.083178869,0.587561375,0.387,0.138090825,0.560677328,0.382
59,0.112835959,0.399835796,0.236,0.537534754,0.32945186,0.333,0.172381835,0.37804878,0.254,0.075301205,0.601851852,0.387,0.132066728,0.56547619,0.382
60,0.108202039,0.408573928,0.236,0.53429101,0.331226659,0.333,0.167284523,0.381203801,0.254,0.06510658,0.589098532,0.387,0.125810936,0.56503642,0.382
61,0.102873031,0.404740201,0.236,0.529193698,0.332508371,0.333,0.160797034,0.382790954,0.254,0.058850788,0.587962963,0.387,0.11978684,0.562568009,0.382
62,0.096385542,0.408644401,0.236,0.525949954,0.33495647,0.333,0.154772938,0.384792627,0.254,0.052131603,0.593667546,0.387,0.116774791,0.572077185,0.382
63,0.092215014,0.412435233,0.236,0.523632994,0.338576779,0.333,0.14944393,0.385304659,0.254,0.045875811,0.605504587,0.387,0.112372567,0.575326216,0.382
64,0.090593142,0.41507431,0.236,0.520852641,0.340915984,0.333,0.144114921,0.384425216,0.254,0.039388323,0.602836879,0.387,0.106116775,0.580481622,0.382
65,0.084800741,0.409395973,0.236,0.515755329,0.342936373,0.333,0.141797961,0.399477807,0.254,0.034986098,0.616326531,0.387,0.101482854,0.585561497,0.382
66,0.083410565,0.413318025,0.236,0.511584801,0.344623069,0.333,0.136468953,0.403148528,0.254,0.028962002,0.603864734,0.387,0.095690454,0.583333333,0.382
67,0.079240037,0.412545235,0.236,0.507414272,0.347343378,0.333,0.132761816,0.414017341,0.254,0.022011121,0.575757576,0.387,0.09012975,0.585843373,0.382
68,0.075764597,0.419768935,0.236,0.503707136,0.350306155,0.333,0.1278962,0.420731707,0.254,0.016450417,0.559055118,0.387,0.087117702,0.593059937,0.382
69,0.075301205,0.424281984,0.236,0.49884152,0.352661753,0.333,0.123725672,0.428227747,0.254,0.010426321,0.511363636,0.387,0.083178869,0.601340034,0.382
70,0.072289157,0.424489796,0.236,0.493975904,0.353331124,0.333,0.120018536,0.435294118,0.254,0.007877665,0.523076923,0.387,0.078776645,0.606060606,0.382
71,0.066960148,0.436555891,0.236,0.490037071,0.354984894,0.333,0.116311399,0.441512753,0.254,0.00347544,0.416666667,0.387,0.075069509,0.621880998,0.382
72,0.066496756,0.438167939,0.236,0.485634847,0.357374254,0.333,0.111909175,0.445571956,0.254,0.001390176,0.3,0.387,0.070435589,0.619144603,0.382
73,0.06510658,0.438377535,0.236,0.480537535,0.359258618,0.333,0.107738647,0.448408872,0.254,0.00115848,0.416666667,0.387,0.065801668,0.618736383,0.382
74,0.063716404,0.44141252,0.236,0.47497683,0.361679605,0.333,0.103568119,0.448345035,0.254,0.000695088,0.5,0.387,0.061399444,0.617715618,0.382
75,0.062326228,0.438825449,0.236,0.46918443,0.363881402,0.333,0.099860982,0.455121436,0.254,0.000695088,0,0.387,0.05583874,0.616368286,0.382
76,0.0581557,0.441901408,0.236,0.463160334,0.36638563,0.333,0.094068582,0.454138702,0.254,0.000695088,0,0.387,0.050741427,0.623931624,0.382
77,0.053985171,0.448076923,0.236,0.459684893,0.369047619,0.333,0.089434662,0.452520516,0.254,0.000695088,0,0.387,0.045875811,0.632587859,0.382
78,0.053521779,0.446808511,0.236,0.452038925,0.371053633,0.333,0.085727525,0.454545455,0.254,0.000695088,0,0.387,0.042632067,0.630136986,0.382
79,0.052594995,0.446850394,0.236,0.446941613,0.375218829,0.333,0.082715477,0.458868895,0.254,0.000695088,0,0.387,0.040083411,0.640740741,0.382
80,0.052131603,0.444664032,0.236,0.4418443,0.379729192,0.333,0.079240037,0.465940054,0.254,0.000695088,0,0.387,0.03660797,0.634538153,0.382
81,0.050973123,0.448065173,0.236,0.435820204,0.382161723,0.333,0.076923077,0.474964235,0.254,0.000695088,0,0.387,0.032900834,0.660465116,0.382
82,0.049582947,0.447698745,0.236,0.430954588,0.387338609,0.333,0.074606117,0.486404834,0.254,0.000695088,0,0.387,0.030352178,0.678756477,0.382
83,0.049119555,0.450106157,0.236,0.423772011,0.390645023,0.333,0.071825765,0.489731438,0.254,0.000695088,0,0.387,0.02734013,0.670454545,0.382
84,0.048887859,0.450854701,0.236,0.416589435,0.394298246,0.333,0.06742354,0.488255034,0.254,0.000695088,0,0.387,0.024096386,0.670967742,0.382
85,0.048192771,0.451193059,0.236,0.410101946,0.399728997,0.333,0.064411492,0.48857645,0.254,0.000695088,0,0.387,0.022011121,0.693430657,0.382
86,0.045644115,0.443693694,0.236,0.400139018,0.402939804,0.333,0.06163114,0.487179487,0.254,0.000695088,0,0.387,0.017840593,0.669565217,0.382
87,0.044949027,0.445977011,0.236,0.389712697,0.407559971,0.333,0.057460612,0.48627451,0.254,0.000695088,0,0.387,0.015523633,0.683673469,0.382
88,0.044485635,0.445475638,0.236,0.378127896,0.41025641,0.333,0.053985171,0.487447699,0.254,0.000695088,0,0.387,0.013438369,0.682352941,0.382
89,0.042863763,0.453431373,0.236,0.365848007,0.415854622,0.333,0.051899907,0.488017429,0.254,0.000695088,0,0.387,0.010426321,0.703125,0.382
90,0.042400371,0.458646617,0.236,0.354958295,0.42320442,0.333,0.048656163,0.484988453,0.254,0.000695088,0,0.387,0.007182576,0.673913043,0.382
91,0.042168675,0.45959596,0.236,0.341519926,0.429112082,0.333,0.046339203,0.487804878,0.254,0.000695088,0,0.387,0.005329008,0.71875,0.382
92,0.040546803,0.461741425,0.236,0.325069509,0.434634449,0.333,0.043558851,0.489583333,0.254,0.000695088,0,0.387,0.003012048,0.684210526,0.382
93,0.036376274,0.459064327,0.236,0.307924004,0.438469152,0.333,0.040546803,0.495750708,0.254,0.000695088,0,0.387,0.00115848,0.555555556,0.382
94,0.035912882,0.46686747,0.236,0.286376274,0.444284687,0.333,0.038229842,0.489614243,0.254,0.000695088,0,0.387,0.000463392,0.666666667,0.382
95,0.035681186,0.468085106,0.236,0.260658017,0.453446191,0.333,0.037303058,0.501557632,0.254,0.000695088,0,0.387,0.000463392,0,0.382
96,0.034754402,0.46875,0.236,0.225208526,0.463740458,0.333,0.034522706,0.496666667,0.254,0.000695088,0,0.387,0.000463392,0,0.382
97,0.033364226,0.470588235,0.236,0.176088971,0.467692308,0.333,0.032669138,0.503571429,0.254,0.000695088,0,0.387,0.000463392,0,0.382
98,0.03313253,0.479865772,0.236,0.11862836,0.491362764,0.333,0.031278962,0.505617978,0.254,0.000695088,0,0.387,0.000463392,0,0.382
99,0.03197405,0.470989761,0.236,0.040778499,0.530120482,0.333,0.02849861,0.493975904,0.254,0.000695088,0,0.387,0.000463392,0,0.382
100,0.031047266,0.473498233,0.236,0.000463392,1,0.333,0.02618165,0.504464286,0.254,0.000695088,0,0.387,0.000463392,0,0.382
101,0.031047266,0,0.236,0.000463392,0,0.333,0.02618165,0,0.254,0.000695088,0,0.387,0.000463392,0,0.382
