,predus,ispred,dockpred,rfscore,logreg
cv1,0.25930061258927956,0.29568093267834694,0.3582096078314315,0.36730468785369835,0.3616202628397816
cv2,0.2771687715167089,0.29462662240558585,0.29770741962127,0.3634310935558656,0.35624256671926924
cv3,0.29654268668570427,0.3357745966440904,0.3316449219116287,0.38533069343363074,0.39359004289855415
cv4,0.268924425422267,0.3458327606460442,0.295842342750589,0.3554463025490163,0.3535235941684219
cv5,0.36206974515074086,0.3567691495421392,0.29528224048235907,0.4108352247498768,0.40235427177611405
