,predus_Recall,predus_Precsion,ispred_Precsion,ispred_Recall,dockpred_Precsion,dockpred_Recall
,ispred_Recall,ispred_Precsion,,,,
,dockpred_Recall,dockpred_Precsion,,,,
0,1.0,0.05915178571428571,0.05915178571428571,1.0,0.05915178571428571,1.0
1,0.7358490566037735,0.2484076433121019,0.08761904761904762,0.8679245283018868,0.11674008810572688,1.0
2,0.7358490566037735,0.2532467532467532,0.11221945137157108,0.8490566037735849,0.1402116402116402,1.0
3,0.7358490566037735,0.2708333333333333,0.12893982808022922,0.8490566037735849,0.16109422492401215,1.0
4,0.6981132075471698,0.2846153846153846,0.14240506329113925,0.8490566037735849,0.17725752508361203,1.0
5,0.6792452830188679,0.3,0.15570934256055363,0.8490566037735849,0.19557195571955718,1.0
6,0.6226415094339622,0.3142857142857143,0.16853932584269662,0.8490566037735849,0.20948616600790515,1.0
7,0.6226415094339622,0.3142857142857143,0.18,0.8490566037735849,0.2175732217573222,0.9811320754716981
8,0.5849056603773585,0.31958762886597936,0.1875,0.8490566037735849,0.22608695652173913,0.9811320754716981
9,0.5849056603773585,0.36904761904761907,0.19911504424778761,0.8490566037735849,0.23318385650224216,0.9811320754716981
10,0.5849056603773585,0.3780487804878049,0.20642201834862386,0.8490566037735849,0.24528301886792453,0.9811320754716981
11,0.5849056603773585,0.3875,0.21428571428571427,0.8490566037735849,0.2639593908629442,0.9811320754716981
12,0.5660377358490566,0.40540540540540543,0.22277227722772278,0.8490566037735849,0.26881720430107525,0.9433962264150944
13,0.5471698113207547,0.42028985507246375,0.22613065326633167,0.8490566037735849,0.26666666666666666,0.9056603773584906
14,0.5471698113207547,0.4264705882352941,0.23157894736842105,0.8301886792452831,0.27976190476190477,0.8867924528301887
15,0.5094339622641509,0.4153846153846154,0.2391304347826087,0.8301886792452831,0.2795031055900621,0.8490566037735849
16,0.5094339622641509,0.4153846153846154,0.24858757062146894,0.8301886792452831,0.2830188679245283,0.8490566037735849
17,0.4716981132075472,0.4098360655737705,0.2543352601156069,0.8301886792452831,0.28846153846153844,0.8490566037735849
18,0.4528301886792453,0.4067796610169492,0.25903614457831325,0.8113207547169812,0.2925170068027211,0.8113207547169812
19,0.39622641509433965,0.4117647058823529,0.2606060606060606,0.8113207547169812,0.2907801418439716,0.7735849056603774
20,0.39622641509433965,0.4375,0.25625,0.7735849056603774,0.29850746268656714,0.7547169811320755
21,0.39622641509433965,0.4883720930232558,0.2578616352201258,0.7735849056603774,0.3053435114503817,0.7547169811320755
22,0.39622641509433965,0.4883720930232558,0.2662337662337662,0.7735849056603774,0.312,0.7358490566037735
